Comp ,Target MS,ALogP,R6,R1,R2,RT (sec),%T1,%R1,Papp1,%T2,%R2,Papp2,%T3,%R3,Papp3,Ave_%R,SD_%R,Ave_Papp,SD_Papp,Ave LogPapp
1.5-09,754.486,2.09,A05,Ala,A17,211,18.1,95.1,1.61,15.1,108.3,1.33,13.9,111,1.21,104.78,8.51,1.39,0.21,-5.86
1.5-10,756.465,1.36,A05,Ala,A18,208,8.7,88.6,0.73,7.3,98,0.61,5.8,103.3,0.49,96.64,7.42,0.61,0.12,-6.21
1.5-11,758.492,0.74,A05,Ala,A19,190,0.1,100.8,0.01,0.1,119.4,0,0.1,120.3,0.01,113.51,10.99,0.01,0,-8.2
1.5-12,761.492,-0.56,A05,Ala,A20,184,0,104.1,0,0,116.4,0,0,116.8,0,112.41,7.2,0,0,-9
1.5-13,768.502,2.54,A05,Leu,A13,220,43.5,49,4.62,36.1,57.1,3.63,36.3,61,3.65,55.72,6.11,3.97,0.56,-5.4
1.5-14,770.481,1.15,A05,Phe,A11,209,6,91.2,0.5,5,102,0.41,4,107.1,0.33,100.1,8.11,0.42,0.08,-6.38
1.5-15,774.549,3.15,A05,Leu,A14,232,60,32,7.41,53.7,33.9,6.23,54.7,37.1,6.4,34.34,2.61,6.68,0.64,-5.18
1.5-16,776.528,1.38,A05,Leu,A15,205,2,97.9,0.16,1.6,111.3,0.13,1.4,111,0.11,106.73,7.66,0.14,0.02,-6.87
1.5-17,782.517,3.07,A05,Phe,A12,227,51.7,29.2,5.9,45.9,33.7,4.97,45.4,35.9,4.91,32.9,3.41,5.26,0.55,-5.28
1.5-18,783.513,1.71,A05,Leu,A16,187,2.1,243,0.17,3.7,126.9,0.3,3.8,100.8,0.31,156.91,75.7,0.26,0.08,-6.58
1.5-19,796.533,3.32,A05,Leu,A17,227,49.6,30.6,5.54,45.4,34.3,4.9,41.8,41.6,4.38,35.5,5.59,4.94,0.58,-5.31
1.5-20,798.512,2.59,A05,Leu,A18,224,29.6,31.5,2.84,25.9,37.3,2.43,25,39.3,2.33,36.02,4.07,2.53,0.27,-5.6
1.5-21,800.539,1.97,A05,Leu,A19,204,1.5,91.1,0.12,1.1,109.3,0.09,0.7,110.2,0.06,103.52,10.78,0.09,0.03,-7.04
1.5-22,802.486,2.87,A05,Phe,A13,224,41.2,25.9,4.29,36.1,30,3.62,34.3,32.1,3.4,29.32,3.15,3.77,0.46,-5.42
1.5-23,803.539,0.67,A05,Leu,A20,199,0.3,97.4,0.02,0.2,116.8,0.02,0.2,114,0.01,109.4,10.46,0.02,0,-7.77
1.5-24,808.533,3.47,A05,Phe,A14,233,49.5,13.8,5.53,42.9,15.9,4.53,41.7,16.7,4.37,15.47,1.51,4.81,0.63,-5.32
1.5-25,810.512,1.7,A05,Phe,A15,209,5.2,88.4,0.44,4.1,101.8,0.34,3.4,105.7,0.28,98.63,9.07,0.35,0.08,-6.45
1.5-26,817.497,2.04,A05,Phe,A16,189,3.5,93.9,0.29,2.6,116.1,0.21,2.2,117.7,0.18,109.26,13.29,0.22,0.06,-6.65
1.5-27,820.497,2.06,A05,2-Nal,A11,220,24.3,43,2.25,19.9,52.5,1.8,17.3,55.1,1.54,50.2,6.35,1.86,0.36,-5.73
1.5-28,830.517,3.64,A05,Phe,A17,229,35.4,15.6,3.54,32.4,18.9,3.16,31.2,20.3,3.02,18.27,2.38,3.24,0.27,-5.49
1.5-29,832.497,2.91,A05,Phe,A18,226,20.9,15.4,1.9,19.7,18.4,1.77,17,20.9,1.51,18.23,2.78,1.73,0.2,-5.76
1.5-30,832.533,3.97,A05,2-Nal,A12,236,18.7,6.8,1.68,18.1,7.3,1.62,17.3,8.7,1.54,7.62,0.99,1.61,0.07,-5.79
1.5-31,834.524,2.29,A05,Phe,A19,206,3.6,93.9,0.29,2.7,105.6,0.22,2.3,107.5,0.19,102.35,7.35,0.23,0.05,-6.63
1.5-32,837.523,1,A05,Phe,A20,202,0.7,94.5,0.06,0.5,114.1,0.04,0.4,114.2,0.04,107.61,11.32,0.04,0.01,-7.35
1.5-33,852.502,3.77,A05,2-Nal,A13,233,15.9,8.1,1.4,14,9.4,1.22,11,10.5,0.95,9.36,1.21,1.19,0.23,-5.92
1.5-34,858.549,4.38,A05,2-Nal,A14,241,5.4,8.2,0.45,4.8,9.3,0.39,3.6,10.5,0.3,9.34,1.13,0.38,0.08,-6.42
1.5-35,860.528,2.61,A05,2-Nal,A15,218,19.2,48.4,1.72,15.5,59.7,1.36,14.8,62.4,1.29,56.86,7.42,1.46,0.23,-5.84
1.5-36,867.513,2.94,A05,2-Nal,A16,199,13.3,59.6,1.16,10.1,73.6,0.86,9.8,75,0.83,69.4,8.5,0.95,0.18,-6.02
1.5-37,880.533,4.55,A05,2-Nal,A17,236,6.1,7.2,0.51,5.7,8.4,0.47,3.8,10.5,0.31,8.7,1.68,0.43,0.11,-6.37
1.5-38,882.512,3.82,A05,2-Nal,A18,235,3.9,8.1,0.32,5.4,9,0.45,2.2,10.9,0.18,9.3,1.43,0.32,0.13,-6.5
1.5-39,884.539,3.2,A05,2-Nal,A19,214,12.4,50.5,1.07,9.9,59.9,0.84,8.9,64.7,0.76,58.38,7.25,0.89,0.16,-6.05
1.5-40,887.539,1.91,A05,2-Nal,A20,211,5.2,85.8,0.43,3.8,101.9,0.32,3.3,105.6,0.27,97.74,10.54,0.34,0.08,-6.47
1.6-01,705.374,2.02,A06,Ala,A11,237,51.6,64,5.88,51.2,70.3,5.81,46.9,65,5.13,66.43,3.39,5.61,0.41,-5.25
1.6-02,717.41,3.93,A06,Ala,A12,254,46.4,13.8,5.05,51.2,14,5.8,47.3,12.3,5.18,13.34,0.93,5.35,0.4,-5.27
1.6-03,737.379,3.73,A06,Ala,A13,251,32.9,15.8,3.23,35.2,15.5,3.51,31.7,14.6,3.09,15.27,0.63,3.27,0.21,-5.48
1.6-04,743.426,4.34,A06,Ala,A14,263,10.8,16.2,0.93,12.9,14.1,1.12,10.5,12.5,0.9,14.26,1.82,0.98,0.12,-6.01
1.6-05,745.405,2.57,A06,Ala,A15,236,41.2,64.1,4.3,41.1,71.4,4.29,36.8,68.8,3.71,68.1,3.71,4.1,0.34,-5.39
1.6-06,747.421,3.25,A06,Leu,A11,259,40.9,13,4.26,46.9,13.5,5.13,41,11.7,4.28,12.71,0.92,4.56,0.49,-5.34
1.6-07,752.39,2.9,A06,Ala,A16,215,26,74.5,2.43,24.6,84,2.28,21.8,84.6,1.99,81.02,5.66,2.23,0.23,-5.65
1.6-08,759.457,5.16,A06,Leu,A12,275,0.7,27,0.06,0.6,21.2,0.04,0.3,25.6,0.02,24.58,3.04,0.04,0.02,-7.39
1.6-09,765.41,4.51,A06,Ala,A17,257,11.1,18.1,0.95,14,16.2,1.22,9.8,15.2,0.83,16.51,1.45,1,0.2,-6
1.6-10,767.389,3.78,A06,Ala,A18,254,6.1,17.1,0.51,7.3,15.5,0.61,4.8,14.8,0.4,15.81,1.2,0.51,0.11,-6.3
1.6-11,769.416,3.16,A06,Ala,A19,233,29.7,74,2.85,29,79.5,2.77,27.7,70.5,2.63,74.66,4.52,2.75,0.11,-5.56
1.6-12,772.416,1.86,A06,Ala,A20,228,4.7,92.1,0.39,4.8,96.9,0.4,3.7,99.6,0.3,96.2,3.79,0.36,0.05,-6.44
1.6-13,779.426,4.96,A06,Leu,A13,270,2.8,35.4,0.23,3.2,30.5,0.26,2.6,34,0.21,33.31,2.53,0.23,0.03,-6.63
1.6-14,781.405,3.57,A06,Phe,A11,259,12.6,14.3,1.09,15.8,13.8,1.39,11,12.6,0.94,13.57,0.92,1.14,0.23,-5.94
1.6-15,785.473,5.57,A06,Leu,A14,282,0.7,45.9,0.05,1.1,40.7,0.09,1.2,43.3,0.1,43.28,2.61,0.08,0.02,-7.1
1.6-16,787.452,3.8,A06,Leu,A15,256,51.3,17.2,5.83,56.8,18.1,6.8,49.3,15.5,5.5,16.94,1.29,6.04,0.67,-5.22
1.6-17,793.441,5.49,A06,Phe,A12,274,0.2,50.4,0.01,0.1,43,0.01,0.1,47.2,0.01,46.88,3.72,0.01,0,-8.04
1.6-18,794.437,4.13,A06,Leu,A16,232,40.1,22,4.14,47.7,21.4,5.25,36,20.7,3.61,21.39,0.66,4.33,0.84,-5.36
1.6-19,807.457,5.74,A06,Leu,A17,275,0.2,49.3,0.02,0.1,42.7,0.01,0.1,46.9,0.01,46.31,3.31,0.01,0,-7.97
1.6-20,809.436,5.01,A06,Leu,A18,272,0.4,48.4,0.03,0.3,43.8,0.02,0.3,42.2,0.03,44.8,3.24,0.03,0,-7.56
1.6-21,811.463,4.39,A06,Leu,A19,251,30.9,16.8,2.99,34.3,17.8,3.41,28.2,16.4,2.68,17,0.72,3.02,0.36,-5.52
1.6-22,813.41,5.29,A06,Phe,A13,271,0.1,57.7,0.01,0.1,51,0.01,0.1,53.5,0,54.06,3.36,0.01,0,-8.11
1.6-23,814.463,3.09,A06,Leu,A20,247,22.9,46.2,2.11,24.7,48.8,2.3,20.9,46,1.89,47,1.53,2.1,0.2,-5.68
1.6-24,819.457,5.89,A06,Phe,A14,281,0.1,67.5,0,0,65.9,0,0,62.4,0,65.29,2.61,0,0,-8.61
1.6-25,821.436,4.12,A06,Phe,A15,257,11.7,15.6,1.01,13.6,14.5,1.18,9.5,13.1,0.8,14.4,1.25,1,0.19,-6
1.6-26,828.421,4.46,A06,Phe,A16,234,9.2,21.6,0.78,10.6,21.3,0.9,7.3,20.1,0.61,21.02,0.78,0.77,0.15,-6.12
1.6-27,831.421,4.48,A06,2-Nal,A11,269,0.2,42.8,0.02,0.2,41.3,0.02,0.2,36.5,0.01,40.18,3.31,0.02,0,-7.82
1.6-28,841.441,6.06,A06,Phe,A17,274,0.1,60.8,0.01,0,53.3,0,0,58.1,0,57.41,3.79,0,0,-8.47
1.6-29,843.421,5.34,A06,Phe,A18,273,0.1,62.2,0,0.1,58.8,0,0,51.1,0,57.39,5.7,0,0,-8.36
1.6-30,843.457,6.4,A06,2-Nal,A12,282,0,80.3,0,0,74.7,0,0,77.5,0,77.49,2.81,0,0,?
1.6-31,845.448,4.71,A06,Phe,A19,253,9.4,17.5,0.8,11,16.6,0.94,7.2,16.1,0.6,16.73,0.71,0.78,0.17,-6.11
1.6-32,848.447,3.42,A06,Phe,A20,248,18.8,30.2,1.68,21.9,31.3,2.01,15.1,30.8,1.33,30.78,0.59,1.67,0.34,-5.78
1.6-33,863.426,6.19,A06,2-Nal,A13,279,0,69,0,0,63.5,0,0,65.3,0,65.94,2.84,0,0,-9.46
1.6-34,869.473,6.8,A06,2-Nal,A14,288,0,65.5,0,0,66,0,0,70.4,0,67.32,2.72,0,0,?
1.6-35,871.452,5.03,A06,2-Nal,A15,267,0.3,44.2,0.02,0.2,39.9,0.01,0.1,41.8,0.01,41.94,2.17,0.02,0.01,-7.82
1.6-36,878.437,5.37,A06,2-Nal,A16,244,0.1,55.8,0.01,0,51.7,0,0,52.8,0,53.45,2.1,0,0,-8.45
1.6-37,891.457,6.97,A06,2-Nal,A17,282,0,72.4,0,0,70.3,0,0,69.2,0,70.62,1.65,0,0,?
1.6-38,893.436,6.24,A06,2-Nal,A18,281,0,69.9,0,0,69.6,0,0,66.7,0,68.77,1.76,0,0,-9.41
1.6-39,895.463,5.62,A06,2-Nal,A19,262,0.2,43.5,0.01,0.1,40.2,0.01,0.1,39.1,0.01,40.89,2.3,0.01,0,-7.99
1.6-40,898.463,4.33,A06,2-Nal,A20,257,1,19.2,0.08,1.2,18.1,0.1,0.6,18.5,0.05,18.63,0.56,0.08,0.02,-7.11
1.7-01,713.46,2.59,A07,Ala,A11,244,59.9,45.8,7.39,52.3,49.9,5.98,53.3,53.5,6.17,49.73,3.85,6.51,0.76,-5.19
1.7-02,725.496,4.5,A07,Ala,A12,262,25.5,7.4,2.38,24.8,7.2,2.31,29.4,7.3,2.82,7.29,0.12,2.5,0.28,-5.6
1.7-03,745.465,4.3,A07,Ala,A13,258,17.5,7.9,1.56,17.7,7.7,1.57,21.5,7.7,1.95,7.77,0.11,1.7,0.22,-5.77
1.7-04,751.512,4.91,A07,Ala,A14,269,7.2,8.7,0.6,6.3,8.2,0.53,6.9,8,0.58,8.33,0.33,0.57,0.04,-6.24
1.7-05,753.491,3.14,A07,Ala,A15,242,51.5,48.1,5.86,42.6,52.9,4.49,44.7,56.3,4.79,52.45,4.13,5.05,0.72,-5.3
1.7-06,755.507,3.82,A07,Leu,A11,266,17.2,6.1,1.53,19.4,6,1.75,22.1,5.7,2.02,5.91,0.19,1.76,0.25,-5.75
1.7-07,760.476,3.47,A07,Ala,A16,222,33.8,54.4,3.33,25.1,60.9,2.34,26.2,66,2.46,60.44,5.82,2.71,0.54,-5.57
1.7-08,767.543,5.73,A07,Leu,A12,282,2.1,14.3,0.17,3.1,12.1,0.26,1.9,13.2,0.16,13.19,1.08,0.2,0.05,-6.71
1.7-09,773.496,5.08,A07,Ala,A17,263,8.6,10.6,0.73,8.9,10.1,0.76,9,9.8,0.77,10.17,0.41,0.75,0.02,-6.12
1.7-10,775.475,4.35,A07,Ala,A18,262,6,11.4,0.5,7.5,10.8,0.63,6.2,10.3,0.52,10.84,0.59,0.55,0.07,-6.26
1.7-11,777.502,3.73,A07,Ala,A19,241,30.3,39.5,2.92,22.3,44.9,2.05,23.5,48.7,2.17,44.35,4.63,2.38,0.47,-5.62
1.7-12,780.502,2.43,A07,Ala,A20,235,9.5,76.2,0.81,5.7,93.5,0.48,6.1,94.5,0.51,88.06,10.24,0.6,0.18,-6.22
1.7-13,787.512,5.53,A07,Leu,A13,277,0.2,22.2,0.02,0.6,20.2,0.05,0.2,20.8,0.02,21.11,1.02,0.03,0.02,-7.53
1.7-14,789.491,4.14,A07,Phe,A11,266,4.9,7.9,0.41,6.6,7.4,0.55,6.4,6.8,0.54,7.36,0.57,0.5,0.08,-6.3
1.7-15,793.559,6.14,A07,Leu,A14,287,0,28.3,0,0.3,25.7,0.02,0,27.2,0,27.07,1.28,0.01,0.01,-8.15
1.7-16,795.538,4.37,A07,Leu,A15,263,40.7,8.7,4.23,42.5,8.7,4.48,42.7,8.6,4.5,8.67,0.07,4.41,0.15,-5.36
1.7-17,801.527,6.06,A07,Phe,A12,280,0,32.7,0,0.1,28.7,0.01,0,30.2,0,30.55,2.02,0,0.01,-8.51
1.7-18,802.523,4.7,A07,Leu,A16,238,18.3,10,1.64,21.5,9.4,1.96,28.3,7.5,2.69,8.96,1.31,2.1,0.54,-5.68
1.7-19,815.543,6.31,A07,Leu,A17,281,0,34.3,0,0,31.9,0,0,32.1,0,32.77,1.34,0,0,?
1.7-20,817.522,5.58,A07,Leu,A18,279,0.3,34.7,0.03,0.7,33,0.06,0.4,33.4,0.04,33.71,0.87,0.04,0.02,-7.39
1.7-21,819.549,4.96,A07,Leu,A19,258,15.7,8.9,1.39,17,8.8,1.51,17.6,9,1.57,8.87,0.11,1.49,0.09,-5.83
1.7-22,821.496,5.86,A07,Phe,A13,277,0,39.3,0,0.1,39.1,0.01,0,38.3,0,38.92,0.52,0,0.01,-8.45
1.7-23,822.549,3.66,A07,Leu,A20,253,17.2,23.7,1.53,13,24.9,1.13,13.3,28.5,1.16,25.68,2.5,1.27,0.22,-5.9
1.7-24,827.543,6.46,A07,Phe,A14,286,0,44.3,0,0.1,42.3,0,0,43.5,0,43.34,1.01,0,0,-8.53
1.7-25,829.522,4.69,A07,Phe,A15,264,14.8,8.7,1.3,18.8,8.3,1.68,16.3,7.7,1.44,8.27,0.52,1.48,0.2,-5.83
1.7-26,836.507,5.03,A07,Phe,A16,241,4.1,10.6,0.34,5.9,9.9,0.49,4.4,9.7,0.36,10.06,0.46,0.4,0.08,-6.4
1.7-27,839.507,5.05,A07,2-Nal,A11,274,0.1,28.8,0.01,0.4,25.7,0.03,0.1,27.7,0.01,27.42,1.54,0.02,0.01,-7.74
1.7-28,849.527,6.63,A07,Phe,A17,280,0,47.5,0,0.1,45.2,0.01,0,45.4,0,46.02,1.26,0,0,-8.51
1.7-29,851.507,5.9,A07,Phe,A18,279,0,44.1,0,0.1,45.5,0.01,0,44.1,0,44.58,0.8,0,0,-8.56
1.7-30,851.543,6.97,A07,2-Nal,A12,287,0.1,51.9,0.01,0.1,54.8,0.01,0.1,53.1,0.01,53.26,1.46,0.01,0,-8.11
1.7-31,853.533,5.28,A07,Phe,A19,259,4.9,10.4,0.41,7,9.6,0.58,5.2,9.5,0.44,9.83,0.52,0.48,0.1,-6.32
1.7-32,856.533,3.99,A07,Phe,A20,255,9.8,13.9,0.84,8.4,15.2,0.71,8.4,15.6,0.71,14.91,0.87,0.75,0.08,-6.12
1.7-33,871.512,6.76,A07,2-Nal,A13,284,0,41.9,0,0,42.7,0,0,44.3,0,42.97,1.2,0,0,-8.95
1.7-34,877.559,7.37,A07,2-Nal,A14,292,0.1,54.6,0,0,58.6,0,0,54.2,0,55.8,2.42,0,0,-8.84
1.7-35,879.538,5.6,A07,2-Nal,A15,272,0.1,27.9,0.01,0.7,26.4,0.05,0.2,27.6,0.01,27.33,0.8,0.02,0.02,-7.61
1.7-36,886.523,5.93,A07,2-Nal,A16,250,0.1,37.9,0.01,0.7,36.4,0.05,0.1,38.2,0.01,37.5,0.95,0.02,0.02,-7.62
1.7-37,899.543,7.54,A07,2-Nal,A17,286,0,52.6,0,0,53.8,0,0,54.8,0,53.73,1.12,0,0,-9.27
1.7-38,901.522,6.81,A07,2-Nal,A18,286,0.2,50.1,0.01,0.1,53,0.01,0.2,52.6,0.01,51.86,1.58,0.01,0,-7.95
1.7-39,903.549,6.19,A07,2-Nal,A19,267,0,27.2,0,0.4,25.7,0.03,0,26,0,26.27,0.81,0.01,0.02,-8
1.7-40,906.549,4.9,A07,2-Nal,A20,264,0.3,11,0.02,1.3,10.5,0.1,0.4,9.7,0.03,10.39,0.68,0.05,0.05,-7.28
1.8-01,715.403,1.12,A08,Ala,A11,226,12.4,75.9,1.07,13.8,80.7,1.2,14.2,82.7,1.24,79.78,3.46,1.17,0.09,-5.93
1.8-02,727.439,3.04,A08,Ala,A12,245,83.7,33.6,14.7,84.9,34.7,15.29,74.7,34.3,11.12,34.2,0.59,13.7,2.26,-4.86
1.8-03,747.408,2.83,A08,Ala,A13,241,65.4,27.8,8.59,63.9,28.7,8.25,55.1,29.3,6.48,28.6,0.75,7.77,1.13,-5.11
1.8-04,753.455,3.44,A08,Ala,A14,253,52.6,14.9,6.05,54.8,15.6,6.43,42.3,15.5,4.45,15.32,0.35,5.64,1.05,-5.25
1.8-05,755.434,1.67,A08,Ala,A15,226,8.5,76.5,0.72,9.5,81.2,0.81,10,81.7,0.85,79.8,2.83,0.79,0.06,-6.1
1.8-06,757.449,2.35,A08,Leu,A11,248,68.7,26.4,9.39,71.7,27,10.22,61.4,27.8,7.71,27.05,0.67,9.11,1.28,-5.04
1.8-07,762.418,2,A08,Ala,A16,206,5.5,83.2,0.46,6.7,87.1,0.56,7.1,88.8,0.6,86.38,2.85,0.54,0.07,-6.27
1.8-08,769.486,4.27,A08,Leu,A12,266,3.4,14.3,0.28,3.6,14.3,0.3,3,16.4,0.25,14.99,1.2,0.28,0.03,-6.56
1.8-09,775.439,3.61,A08,Ala,A17,247,49.8,19.5,5.58,54,19.6,6.28,40.5,19.6,4.2,19.55,0.05,5.35,1.06,-5.27
1.8-10,777.418,2.88,A08,Ala,A18,245,28.7,18.1,2.74,31.9,17.8,3.11,25.6,19,2.39,18.26,0.62,2.75,0.36,-5.56
1.8-11,779.445,2.26,A08,Ala,A19,224,5.8,73.4,0.49,7.1,74.3,0.59,8.1,78.6,0.69,75.43,2.78,0.59,0.1,-6.23
1.8-12,782.445,0.97,A08,Ala,A20,217,0.9,93.7,0.07,1.2,91.4,0.09,1.3,95.6,0.11,93.55,2.07,0.09,0.02,-7.04
1.8-13,789.455,4.07,A08,Leu,A13,260,2.9,20.4,0.24,2.3,21.3,0.19,2.7,21.8,0.22,21.2,0.71,0.21,0.02,-6.67
1.8-14,791.434,2.68,A08,Phe,A11,250,39.6,14.9,4.08,46.6,15.1,5.08,37.4,15.7,3.79,15.26,0.45,4.32,0.68,-5.36
1.8-15,795.501,4.67,A08,Leu,A14,273,0.7,26.2,0.06,0.2,26.3,0.02,0.3,27.9,0.02,26.79,0.93,0.03,0.02,-7.5
1.8-16,797.481,2.9,A08,Leu,A15,245,69.3,37.5,9.55,73.3,38.7,10.7,63.2,39.9,8.1,38.71,1.16,9.45,1.3,-5.02
1.8-17,803.47,4.59,A08,Phe,A12,266,0.6,29.3,0.05,0.4,30,0.03,0.4,32.3,0.04,30.52,1.58,0.04,0.01,-7.41
1.8-18,804.465,3.24,A08,Leu,A16,223,43.3,39.1,4.6,49.6,37.4,5.55,44.6,39.8,4.78,38.78,1.24,4.98,0.5,-5.3
1.8-19,817.486,4.84,A08,Leu,A17,265,0.7,30.3,0.05,0.2,30.6,0.02,0.5,33.3,0.04,31.43,1.65,0.04,0.02,-7.44
1.8-20,819.465,4.11,A08,Leu,A18,263,1.4,30.5,0.11,0.9,29.4,0.07,0.9,31.2,0.08,30.34,0.89,0.09,0.02,-7.06
1.8-21,821.492,3.49,A08,Leu,A19,241,35.6,32.8,3.57,38.2,34.8,3.89,34.7,36.8,3.45,34.8,1.96,3.64,0.23,-5.44
1.8-22,823.439,4.39,A08,Phe,A13,262,0.5,40.6,0.04,0.2,39.3,0.02,0.4,41.1,0.03,40.32,0.95,0.03,0.01,-7.51
1.8-23,824.492,2.2,A08,Leu,A20,236,9.8,68.1,0.84,12.3,69.4,1.06,13.5,75.5,1.18,71.01,3.96,1.03,0.17,-5.99
1.8-24,829.486,5,A08,Phe,A14,273,0.5,46.6,0.04,0.3,45.5,0.02,0.3,50.1,0.02,47.4,2.4,0.03,0.01,-7.54
1.8-25,831.465,3.23,A08,Phe,A15,248,33.3,15.9,3.28,39.8,16.1,4.1,31.1,17.2,3.02,16.41,0.7,3.47,0.57,-5.46
1.8-26,838.45,3.56,A08,Phe,A16,225,16.1,23.3,1.42,19.6,25.1,1.77,18,25.4,1.61,24.61,1.15,1.6,0.17,-5.8
1.8-27,841.449,3.58,A08,2-Nal,A11,259,1.1,28.9,0.09,0.7,29.9,0.05,1,31.4,0.08,30.06,1.26,0.07,0.02,-7.13
1.8-28,851.47,5.17,A08,Phe,A17,266,0.2,42.7,0.02,0,43.2,0,0.1,46.8,0.01,44.25,2.25,0.01,0.01,-8.01
1.8-29,853.449,4.44,A08,Phe,A18,265,0.4,42.8,0.03,0.1,42,0.01,0.1,46.2,0.01,43.66,2.22,0.02,0.01,-7.76
1.8-30,853.486,5.5,A08,2-Nal,A12,274,0,56.1,0,0,52.8,0,0,58.9,0,55.93,3.04,0,0,-8.89
1.8-31,855.476,3.82,A08,Phe,A19,243,18.7,19.9,1.68,22.6,20.9,2.08,20.8,22,1.89,20.95,1.01,1.88,0.2,-5.73
1.8-32,858.476,2.52,A08,Phe,A20,238,13.3,45.4,1.16,16.7,46.7,1.48,17.3,52.2,1.53,48.11,3.64,1.39,0.2,-5.86
1.8-33,873.455,5.3,A08,2-Nal,A13,271,0.1,58.8,0.01,0,64.1,0,0,68.9,0,63.97,5.04,0,0,-8.53
1.8-34,879.501,5.9,A08,2-Nal,A14,280,0,61.2,0,0,55.9,0,0,61.1,0,59.38,3.01,0,0,-9.12
1.8-35,881.481,4.13,A08,2-Nal,A15,257,0.9,33,0.08,0.7,32,0.06,0.9,35.1,0.07,33.37,1.57,0.07,0.01,-7.16
1.8-36,888.465,4.47,A08,2-Nal,A16,235,0.6,38.4,0.05,0.3,37.4,0.02,0.6,41.5,0.05,39.11,2.13,0.04,0.02,-7.42
1.8-37,901.486,6.08,A08,2-Nal,A17,274,0,58.1,0,0,55.2,0,0,61.1,0,58.15,2.92,0,0,-9.29
1.8-38,903.465,5.35,A08,2-Nal,A18,273,0,57.8,0,0,55.8,0,0,60.1,0,57.91,2.16,0,0,-8.88
1.8-39,905.492,4.73,A08,2-Nal,A19,252,0.4,28.3,0.03,0.1,28.4,0.01,0.4,30,0.03,28.89,0.97,0.02,0.01,-7.6
1.8-40,908.492,3.43,A08,2-Nal,A20,248,3.1,16.9,0.26,3.9,16.2,0.33,4.4,18.3,0.36,17.13,1.09,0.32,0.05,-6.5
1.9-01,718.45,1.54,A09,Ala,A11,238,28.2,81,2.68,33.3,83.3,3.28,31.2,86.2,3.02,83.53,2.6,2.99,0.3,-5.52
1.9-02,730.486,3.46,A09,Ala,A12,255,65.8,15.5,8.67,78.1,17.5,12.29,67.9,18.4,9.2,17.14,1.48,10.05,1.96,-5
1.9-03,750.455,3.26,A09,Ala,A13,252,55.8,14,6.62,69.5,15.4,9.62,61,16.5,7.63,15.3,1.26,7.95,1.53,-5.1
1.9-04,756.502,3.86,A09,Ala,A14,262,34.1,8.1,3.37,44.6,7.5,4.78,40.3,8.5,4.18,8.03,0.5,4.11,0.71,-5.39
1.9-05,758.481,2.09,A09,Ala,A15,236,21.5,82.2,1.96,25,86,2.33,24.1,86.2,2.23,84.83,2.25,2.17,0.19,-5.66
1.9-06,760.497,2.77,A09,Leu,A11,259,56.4,13,6.72,67.5,14.1,9.1,60.3,15.2,7.49,14.09,1.09,7.77,1.22,-5.11
1.9-07,765.466,2.43,A09,Ala,A16,217,15.2,87.7,1.34,18.6,90.1,1.66,14.9,94,1.3,90.6,3.19,1.43,0.2,-5.84
1.9-08,772.533,4.69,A09,Leu,A12,275,3.4,8.1,0.28,3,6.3,0.25,3.1,7.8,0.26,7.42,0.94,0.26,0.02,-6.58
1.9-09,778.486,4.03,A09,Ala,A17,257,41.5,8.9,4.34,49.6,9.1,5.54,41.6,10.4,4.36,9.44,0.85,4.75,0.69,-5.32
1.9-10,780.465,3.3,A09,Ala,A18,255,27.9,9,2.65,29.2,8.2,2.8,26.8,9.3,2.52,8.85,0.57,2.66,0.14,-5.58
1.9-11,782.492,2.68,A09,Ala,A19,235,17.1,73.4,1.52,20.5,74,1.85,17,81.3,1.51,76.25,4.4,1.63,0.2,-5.79
1.9-12,785.492,1.39,A09,Ala,A20,230,3.2,102.3,0.26,3.6,100.3,0.3,2.6,104.7,0.22,102.41,2.19,0.26,0.04,-6.59
1.9-13,792.502,4.49,A09,Leu,A13,271,4.4,9.8,0.36,3.6,7.4,0.29,3.7,9.7,0.31,8.96,1.31,0.32,0.04,-6.49
1.9-14,794.481,3.1,A09,Phe,A11,260,36,7.4,3.61,45.4,7.1,4.9,39.9,7.9,4.12,7.47,0.42,4.21,0.65,-5.38
1.9-15,798.549,5.09,A09,Leu,A14,281,1.8,13.1,0.14,1.4,9.6,0.12,1.1,12.7,0.09,11.8,1.88,0.12,0.03,-6.93
1.9-16,800.528,3.32,A09,Leu,A15,256,61.8,20.3,7.8,72.6,22.5,10.49,64.3,24.8,8.35,22.54,2.21,8.88,1.42,-5.05
1.9-17,806.517,5.01,A09,Phe,A12,274,1.7,13.1,0.14,1,11.1,0.08,1.1,14.5,0.09,12.87,1.71,0.1,0.03,-6.99
1.9-18,807.513,3.66,A09,Leu,A16,233,53,26.3,6.1,62.5,27.7,7.95,55.1,33.6,6.48,29.19,3.88,6.84,0.97,-5.16
1.9-19,820.533,5.26,A09,Leu,A17,275,1.9,15.4,0.16,1,13.2,0.08,1,16.7,0.08,15.13,1.76,0.11,0.05,-6.97
1.9-20,822.512,4.54,A09,Leu,A18,274,3.8,15.6,0.32,2.3,14.1,0.19,2.3,17.7,0.19,15.77,1.82,0.23,0.07,-6.64
1.9-21,824.539,3.91,A09,Leu,A19,252,39.5,17.6,4.06,48.9,18.2,5.44,42.3,20.5,4.45,18.8,1.53,4.65,0.71,-5.33
